tag,time,approve,uid,name,sex,review
0,2021-10-03 19:45:02,8,121272550,a1271937133,保密,剪的不错，下次再剪元龙打断你的腿[doge]
0,2021-10-03 20:02:51,0,237733293,潘大虾-,男,没有下次啦[灵魂出窍]
0,2021-10-08 21:49:57,0,508154664,温酒煮暖茶,女,严谨点，元虫[藏狐][辣眼睛]
0,2021-10-03 18:41:08,4,140532392,乐止忆,男,6.6  ？这分太高了
0,2021-10-03 19:52:21,0,439130385,吃币不给改,保密,锁分了，好像打一分不记录，实际应该只有2分多点
0,2021-10-03 22:02:40,0,140532392,乐止忆,男,回复 @我有一个朋友---- :果然是哔哩自家的怪自家爱
0,2021-10-03 14:59:12,3,4968614,天天哈哈哈,保密,厉害了👍🏻
0,2021-10-03 14:10:42,3,11745381,妖幕慌,保密,这不比正剧燃？[藏狐]
0,2021-10-03 15:28:29,0,237733293,潘大虾-,男,谢谢[惊喜]
0,2021-10-04 23:03:50,1,493841042,白宛司CHEN,保密,剪的好👌🏻
0,2021-10-04 23:18:22,0,237733293,潘大虾-,男,谢谢支持，可惜不🔥呀[笑哭]
0,2021-10-03 19:23:35,1,162149715,1528930576,保密,卡点牛批，三连了（白嫖怪难得出手）[doge]
0,2021-10-03 19:25:06,0,237733293,潘大虾-,男,大哥[doge]
0,2021-10-03 18:47:12,1,483960730,我哩搁乖乖喔,保密,燃起来！
0,2021-10-03 17:18:44,1,299672968,奥尔良的抄手,女,这才是我心中的元龙已[热词系列_三连]
0,2021-10-08 21:50:26,0,508154664,温酒煮暖茶,女,元龙第一季其实挺燃的 ……就是……[藏狐]
0,2021-10-08 22:47:37,0,237733293,潘大虾-,男,现在的失败会掩盖住以前的光辉，就像法国[笑哭]
0,2021-10-09 06:52:42,0,508154664,温酒煮暖茶,女,回复 @潘大虾- :[热词系列_害]第一季还拿了奖的说，如果不换导演也不至于如此……
0,2021-10-03 14:22:54,0,514359706,鸿昭,保密,up加油[打call]能互赞互相支持一下吗？
0,2021-10-03 15:24:36,0,237733293,潘大虾-,男,我看行[惊喜]
