tag,time,approve,uid,name,sex,review
0,2021-08-08 16:19:37,1,237733293,潘大虾-,男,画面全部来自于骑马与砍杀2，制作时剪掉了一段副歌。录制时特意使用30帧并且很多地方用了慢速，所以看起来会有点卡顿。本来想着把歌词加上渐变色（像KTV那样）不过估计也没啥人看，加起来也比较麻烦就没弄上。
0,2021-08-11 01:22:11,2,77391487,谦谦子舟,男,不知道有没有大佬弄个秦军，唐兵这种MOD
0,2021-08-11 07:01:04,0,237733293,潘大虾-,男,像这种大型mod还是得等挺久的，毕竟游戏还不是正式版╮(￣▽￣)╭
0,2021-08-12 20:36:01,0,2054482381,曹魏帝国,保密,骑砍一的春秋战国mod都凉了不知道多少时间了[笑哭]
0,2021-08-12 20:47:18,1,19800376,孙答应的赤色鸳鸯口罩,保密,这是up自己唱的吗？感觉不像是屠洪刚版的音色
0,2021-08-12 22:59:26,0,237733293,潘大虾-,男,这是网易云上的另一个版本，李浩东唱的，我觉得更有气势一些就用的这个。你也太高估我了，这是我能唱的吗。。。
0,2021-08-13 01:08:21,0,497698549,西西弗顶呱呱,男,未曾设想
0,2021-08-23 21:15:44,0,5878980,昵称这么费劲,保密,未曾设想的罗马道路（）
