tag,time,approve,uid,name,sex,review
0,2022-01-22 11:07:33,2,478900997,野生的怪兽桑,男,[打call]
0,2022-01-20 14:13:51,2,603280323,EXitESc,男,你的视频很棒！我三连了，如果可以就麻烦阁下看一看我做的漫剪BV1Pf4y1F7w3喜欢的话能否给我点个赞？互关一手，谢谢了！
0,2022-02-11 10:33:57,1,34670183,坂上智代233,保密,算了，给个赞和硬币吧
0,2022-02-16 19:07:57,0,1893358606,陈冠xin,男,看看我的
0,2022-02-05 12:19:02,1,327021056,熊某人吖,男,已二连[doge]互相支持一下吧[脱单doge][脱单doge]【高燃节拍 心脏律动！——鬼灭之刃超燃卡点剪辑   (´｡✪ω✪｡｀)-哔哩哔哩】 https://b23.tv/cuxCD6j
0,2022-02-05 14:24:34,0,237733293,潘大虾-,男,[OK]
0,2022-02-05 14:27:49,0,327021056,熊某人吖,男,回复 @潘大虾- :麻烦互关[脱单doge]
0,2022-01-20 11:09:15,0,483376322,汐月ciki,保密,Up主做的好棒耶，点赞支持一波，能顺便来看看我的视频吗BV1TS4y1f7Be[doge][doge]，若扰请删
0,2022-01-20 11:48:34,1,237733293,潘大虾-,男,给你个币[OK]
0,2022-02-03 20:47:34,0,506108365,Listen离笙,保密,好看，为什么不火[打call]
0,2022-02-04 01:12:45,0,237733293,潘大虾-,男,没有基础粉丝撑不起来基础播放量所以难火吧[委屈]
0,2022-02-01 22:59:55,0,524968822,让我再睡15分钟,男,好看不火
0,2022-02-02 00:45:46,0,237733293,潘大虾-,男,虽然已经沉了，但是我还是要说这叫能人先赏[doge]
0,2022-02-16 19:08:05,0,1893358606,陈冠xin,男,看看我的
