tag,time,approve,uid,name,sex,review
0,2024-05-12 19:53:52,0,262193934,哆次拒绝王阿姨,女,我在旁观桂中医[呲牙]，已经工作了
0,2024-05-08 23:36:32,0,407326060,单纯小屁孩的我,保密,2016年毕业找工作的时候，去了一趟这里的校园招聘，还有印象这个学校的妹子好多，一眨眼快8年过去了，毕业后一直留在了南宁
0,2024-05-08 11:50:07,0,434593881,肥跑跑,保密,以前去还是广西师院[笑哭]
0,2024-05-08 00:06:37,0,1527780087,imtroublemaker,男,祝看到这条评论的都上南宁师范大学[打call]
0,2024-05-07 21:29:55,0,15136105,老友粉2002,保密,[doge]我05-06年在那里读书
0,2024-05-07 21:28:43,0,15136105,老友粉2002,保密,[奥比岛_点赞]祝贺毕业！！！我在你们学校学习过，领了毕业证[打call]
0,2024-05-07 18:26:41,0,34918429,喵生再也不喵了喵,保密,10级老学长待了4年也挺怀念[doge]
0,2024-05-04 02:58:10,0,276307667,多戳鱼66,保密,广西职业师范学院么[吃瓜]
0,2024-04-30 22:10:52,0,250875681,猫好好顶呱呱,保密,多拍点吧！以后想念的时候还可以看看[大笑]
0,2024-04-29 20:46:49,0,8242108,如果时光机摆在面前,保密,高中的时候还没疫情经常穿过师范回北湖[doge]
0,2024-04-29 01:19:42,0,32377079,落花笑彷徨丶,保密,我也是20级的，今年毕业，去年考研复习暑假从五合来住过一段时间明秀，也算是一段难忘的时光了，今年考上也要毕业了，虽然以前天天骂，但马上要毕业还是比较不舍的。未来都要加油呀[打call][打call]
0,2024-04-27 18:35:17,0,277726574,武藏大狐狸,保密,@amamidd @YU-NO酱 这是哪
0,2024-04-27 14:52:46,0,431381765,瞬间遇见美,保密,05年在长岗，06－09在明秀[大笑]
0,2024-04-27 01:46:09,0,555960839,懶蛇出动,保密,18年毕业，燕子岭校区，当前机关gwy一名，明年广东某985在职读研再回去看看
0,2024-04-26 17:53:39,0,6218245,老迪迦的自由生活,男,不错
0,2024-04-26 12:25:32,0,1750962970,bili_47053241524,保密,我家附近
0,2024-04-26 03:02:03,0,619963653,高考考了七百五,男,21级越南语专业的？[doge]
0,2024-04-25 16:08:05,3,279292059,一块大泡泡糖,保密,是哪些专业在这个校区的？
0,2024-04-24 22:57:57,0,391904252,拂晓去远方,保密,住得不远，好些年没进去了，我还有这个呢，早就不能用了吧
0,2024-04-24 16:33:02,0,297973628,钞能力领导,保密,有10年没有进去了[笑哭]师范
0,2024-05-12 19:53:52,0,262193934,哆次拒绝王阿姨,女,我在旁观桂中医[呲牙]，已经工作了
0,2024-05-08 23:36:32,0,407326060,单纯小屁孩的我,保密,2016年毕业找工作的时候，去了一趟这里的校园招聘，还有印象这个学校的妹子好多，一眨眼快8年过去了，毕业后一直留在了南宁
0,2024-05-08 11:50:07,0,434593881,肥跑跑,保密,以前去还是广西师院[笑哭]
0,2024-05-08 00:06:37,0,1527780087,imtroublemaker,男,祝看到这条评论的都上南宁师范大学[打call]
0,2024-05-07 21:29:55,0,15136105,老友粉2002,保密,[doge]我05-06年在那里读书
0,2024-05-07 21:28:43,0,15136105,老友粉2002,保密,[奥比岛_点赞]祝贺毕业！！！我在你们学校学习过，领了毕业证[打call]
0,2024-05-07 18:26:41,0,34918429,喵生再也不喵了喵,保密,10级老学长待了4年也挺怀念[doge]
0,2024-05-04 02:58:10,0,276307667,多戳鱼66,保密,广西职业师范学院么[吃瓜]
0,2024-04-30 22:10:52,0,250875681,猫好好顶呱呱,保密,多拍点吧！以后想念的时候还可以看看[大笑]
0,2024-04-29 20:46:49,0,8242108,如果时光机摆在面前,保密,高中的时候还没疫情经常穿过师范回北湖[doge]
0,2024-04-29 01:19:42,0,32377079,落花笑彷徨丶,保密,我也是20级的，今年毕业，去年考研复习暑假从五合来住过一段时间明秀，也算是一段难忘的时光了，今年考上也要毕业了，虽然以前天天骂，但马上要毕业还是比较不舍的。未来都要加油呀[打call][打call]
0,2024-04-27 18:35:17,0,277726574,武藏大狐狸,保密,@amamidd @YU-NO酱 这是哪
0,2024-04-27 14:52:46,0,431381765,瞬间遇见美,保密,05年在长岗，06－09在明秀[大笑]
0,2024-04-27 01:46:09,0,555960839,懶蛇出动,保密,18年毕业，燕子岭校区，当前机关gwy一名，明年广东某985在职读研再回去看看
0,2024-04-26 17:53:39,0,6218245,老迪迦的自由生活,男,不错
0,2024-04-26 12:25:32,0,1750962970,bili_47053241524,保密,我家附近
0,2024-04-26 03:02:03,0,619963653,高考考了七百五,男,21级越南语专业的？[doge]
0,2024-04-25 16:08:05,3,279292059,一块大泡泡糖,保密,是哪些专业在这个校区的？
0,2024-04-24 22:57:57,0,391904252,拂晓去远方,保密,住得不远，好些年没进去了，我还有这个呢，早就不能用了吧
0,2024-04-24 16:33:02,0,297973628,钞能力领导,保密,有10年没有进去了[笑哭]师范
0,2024-05-12 19:53:52,0,262193934,哆次拒绝王阿姨,女,我在旁观桂中医[呲牙]，已经工作了
0,2024-05-08 23:36:32,0,407326060,单纯小屁孩的我,保密,2016年毕业找工作的时候，去了一趟这里的校园招聘，还有印象这个学校的妹子好多，一眨眼快8年过去了，毕业后一直留在了南宁
0,2024-05-08 11:50:07,0,434593881,肥跑跑,保密,以前去还是广西师院[笑哭]
0,2024-05-08 00:06:37,0,1527780087,imtroublemaker,男,祝看到这条评论的都上南宁师范大学[打call]
0,2024-05-07 21:29:55,0,15136105,老友粉2002,保密,[doge]我05-06年在那里读书
0,2024-05-07 21:28:43,0,15136105,老友粉2002,保密,[奥比岛_点赞]祝贺毕业！！！我在你们学校学习过，领了毕业证[打call]
0,2024-05-07 18:26:41,0,34918429,喵生再也不喵了喵,保密,10级老学长待了4年也挺怀念[doge]
0,2024-05-04 02:58:10,0,276307667,多戳鱼66,保密,广西职业师范学院么[吃瓜]
0,2024-04-30 22:10:52,0,250875681,猫好好顶呱呱,保密,多拍点吧！以后想念的时候还可以看看[大笑]
0,2024-04-29 20:46:49,0,8242108,如果时光机摆在面前,保密,高中的时候还没疫情经常穿过师范回北湖[doge]
0,2024-04-29 01:19:42,0,32377079,落花笑彷徨丶,保密,我也是20级的，今年毕业，去年考研复习暑假从五合来住过一段时间明秀，也算是一段难忘的时光了，今年考上也要毕业了，虽然以前天天骂，但马上要毕业还是比较不舍的。未来都要加油呀[打call][打call]
0,2024-04-27 18:35:17,0,277726574,武藏大狐狸,保密,@amamidd @YU-NO酱 这是哪
0,2024-04-27 14:52:46,0,431381765,瞬间遇见美,保密,05年在长岗，06－09在明秀[大笑]
0,2024-04-27 01:46:09,0,555960839,懶蛇出动,保密,18年毕业，燕子岭校区，当前机关gwy一名，明年广东某985在职读研再回去看看
0,2024-04-26 17:53:39,0,6218245,老迪迦的自由生活,男,不错
0,2024-04-26 12:25:32,0,1750962970,bili_47053241524,保密,我家附近
0,2024-04-26 03:02:03,0,619963653,高考考了七百五,男,21级越南语专业的？[doge]
0,2024-04-25 16:08:05,3,279292059,一块大泡泡糖,保密,是哪些专业在这个校区的？
0,2024-04-24 22:57:57,0,391904252,拂晓去远方,保密,住得不远，好些年没进去了，我还有这个呢，早就不能用了吧
0,2024-04-24 16:33:02,0,297973628,钞能力领导,保密,有10年没有进去了[笑哭]师范
