title,aid,bvid,createTime,timelength,description,link
即使前方是深渊，我也不会停止，因为你从未离去（少女终末旅行X来自深渊MAD）,560662390,BV1Re4y1872L,2022-09-19 21:32:08,03:31,BGM：你从未离去 低技术力警告,https://www.bilibili.com/video/BV1Re4y1872L
环太平洋之盛宴峡谷预告片,557986426,BV1Ne4y1y7xt,2022-09-10 12:05:50,02:27,同学的一场魔典，10个人都是盛宴，觉得很有意思就把录像要过来了，自己剪了一下，第一次剪这种，不是很熟练,https://www.bilibili.com/video/BV1Ne4y1y7xt
当战双遇上梦龙，又是一个踩点盛宴,984225245,BV1ut4y1G7Hj,2022-08-06 09:17:17,02:04,bgm：Bones——Imagine Dragons 感觉不如上一期啊，不过也还可以了,https://www.bilibili.com/video/BV1ut4y1G7Hj
卡列新机体好感剧情来了，快来看看傲娇卡列吧,298440942,BV1XF411M79c,2022-04-22 11:37:32,17:46,无,https://www.bilibili.com/video/BV1XF411M79c
雷龙：这掉色人有点小帅，再看一眼,425595893,BV1N3411n7Cz,2022-04-09 17:43:00,01:18,BUFF刚上完准备动手，结果发现它不打我，那我也不打它了，友好相处(*^▽^*),https://www.bilibili.com/video/BV1N3411n7Cz
【战双】全角色好感度剧情~持续更新中（更新至里-超刻）,424302674,BV1Z3411L7jc,2022-02-26 13:14:30,573:45,有问题可以在评论区指出，评论都会看（如果我看的过来）  制作不易，求个三连,https://www.bilibili.com/video/BV1Z3411L7jc
菜月昴X鲁迪乌斯——平凡的英雄,724143107,BV12S4y1r7Hv,2022-02-18 21:14:40,04:02,无,https://www.bilibili.com/video/BV12S4y1r7Hv
【同祈迎春合集】构造体们在厨房会干些什么呢？,424035457,BV17341177LZ,2022-02-15 16:00:00,02:30,BGM：风中的苏鲁德——贺西格,https://www.bilibili.com/video/BV17341177LZ
踩 点 到 位   上 弦 干 碎,338334380,BV1KR4y1u7o7,2022-01-20 10:02:11,03:26,肝快没了，播放过5万就是胜利！,https://www.bilibili.com/video/BV1KR4y1u7o7
三十年前的今天，一个红色巨人倒下了，但是他们的精神绝对不会消逝,252514629,BV1kY411H73n,2021-12-25 11:17:41,04:21,乌拉！,https://www.bilibili.com/video/BV1kY411H73n
五级荣誉玩家的账号被无故封禁7天！,977456212,BV1u44y1J7gL,2021-12-18 15:17:47,01:18,虽说封了号对我没什么影响，但是腾讯wdnmd,https://www.bilibili.com/video/BV1u44y1J7gL
【战双】宣叙妄响过场CG合集,807001318,BV1M34y1R7yT,2021-12-03 13:07:14,02:37,被恶龙吃掉的cg和第一个没什么区别就没上传  几个结局的哈姆雷特只是说的话不同，所以只传了一个  剪辑可以拿去用,https://www.bilibili.com/video/BV1M34y1R7yT
【战双】吃黑卡 你绝对没见过的阴间boss哈姆雷特,549303589,BV1fq4y1u7iP,2021-11-18 17:53:18,01:43,离谱离谱离谱,https://www.bilibili.com/video/BV1fq4y1u7iP
【战双】没有实体的攻击 绝对无敌的哨戒机炮 这难道是帕弥什病毒的最终形态？,976703239,BV1K44y1v7n1,2021-11-16 10:00:19,00:36,这次被迫重开了，导致我精通还剩几关没重开机会了，没打过。,https://www.bilibili.com/video/BV1K44y1v7n1
【战双二周年GMV】用一个月做一个战双踩点 见识下首席的实力吧！,251566814,BV1Ev411M7Vy,2021-11-11 09:50:00,03:27,用了三周制作，又用了快一周缝缝补补，感觉还行。部分画面参考了 BV1wK411A7b2 画面全部来自官方PV 短片和手打素材 BGM：whatever it takes——Imagine Dragons 特地挑今天发视频，给各位指挥官在更新的闲暇之余找点乐子 喜欢就给个三连吧~~~,https://www.bilibili.com/video/BV1Ev411M7Vy
