aid,view,barrage_num,reply_num,favorite_num,coin_num,share_num,like_num
1504521252,180,0,4,1,0,0,6
1253354018,3045,2,46,23,23,7,144
1302748601,159,0,3,1,2,0,2
1802678570,300,0,0,2,2,0,8
1102037414,320,1,9,1,4,0,8
1801778377,96,0,0,1,2,0,3
1451291124,282,0,0,1,2,0,9
1200803197,374,0,1,2,4,0,5
1500803526,324,0,1,6,4,1,13
1000893924,235,0,4,1,2,0,7
1900577282,125,0,2,1,2,0,4
1150608098,131,0,0,1,2,0,3
1400579179,236,0,1,1,2,0,1
1200468820,295,0,1,1,4,0,6
1550120949,247,0,1,3,4,0,10
666787959,1396,0,31,6,6,1,21
881686253,1032,0,11,7,8,2,24
411519521,336,0,3,1,2,0,8
881379786,546,0,10,1,3,0,22
923680534,204,1,1,0,0,1,5
241070025,475,2,4,1,2,1,17
580939210,186,0,0,0,0,0,0
835779128,341,0,7,3,3,0,4
538232690,199,0,1,1,4,0,5
663782484,433,0,10,4,6,1,10
832882062,101,0,0,1,2,0,4
577219562,214,0,3,1,4,0,9
746759505,275,0,5,1,4,0,7
619187586,219,0,5,0,0,0,9
703903989,626,0,6,4,9,4,23
